date,total_deaths
31/12/2019,0
01/01/2020,0
02/01/2020,0
03/01/2020,0
04/01/2020,0
05/01/2020,0
06/01/2020,0
07/01/2020,0
08/01/2020,0
09/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,0
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,1
02/03/2020,2
03/03/2020,6
04/03/2020,9
05/03/2020,11
06/03/2020,12
07/03/2020,14
08/03/2020,18
09/03/2020,22
10/03/2020,28
11/03/2020,31
12/03/2020,33
13/03/2020,44
14/03/2020,52
15/03/2020,63
16/03/2020,77
17/03/2020,96
18/03/2020,124
19/03/2020,173
20/03/2020,179
21/03/2020,308
22/03/2020,408
23/03/2020,557
24/03/2020,700
25/03/2020,946
26/03/2020,1227
27/03/2020,1519
28/03/2020,1997
29/03/2020,2543
30/03/2020,2932
31/03/2020,3687
01/04/2020,4698
02/04/2020,5914
03/04/2020,6959
04/04/2020,8246
05/04/2020,9812
06/04/2020,11137
07/04/2020,12678
08/04/2020,14862
09/04/2020,17082
10/04/2020,19309
11/04/2020,21715
12/04/2020,23826
13/04/2020,25621
14/04/2020,27414
15/04/2020,30308
16/04/2020,35688
17/04/2020,38492
18/04/2020,42751
19/04/2020,45218
20/04/2020,47369
21/04/2020,49605
22/04/2020,52686
23/04/2020,54950
24/04/2020,58917
25/04/2020,60760
26/04/2020,63663
27/04/2020,65752
28/04/2020,67869
29/04/2020,71085
30/04/2020,74591
01/05/2020,77578
02/05/2020,80684
03/05/2020,83135
04/05/2020,85260
05/05/2020,87232
06/05/2020,90566
07/05/2020,94122
08/05/2020,97602
09/05/2020,100430
10/05/2020,103260
11/05/2020,105317
12/05/2020,107250
13/05/2020,110714
14/05/2020,113827
15/05/2020,117069
16/05/2020,120406
17/05/2020,123091
18/05/2020,124862
19/05/2020,126832
20/05/2020,130243
21/05/2020,133441
22/05/2020,136725
23/05/2020,139960
24/05/2020,142580
25/05/2020,144347
26/05/2020,146391
27/05/2020,149023
28/05/2020,152598
29/05/2020,155764
30/05/2020,158866
31/05/2020,161514
01/06/2020,163281
02/06/2020,165262
03/06/2020,168358
04/06/2020,172407
05/06/2020,176188
06/06/2020,179278
07/06/2020,181707
08/06/2020,184108
09/06/2020,185990
10/06/2020,189300
11/06/2020,192833
12/06/2020,196069
13/06/2020,199119
14/06/2020,201874
15/06/2020,203692
16/06/2020,205585
17/06/2020,208920
18/06/2020,212399
19/06/2020,215737
20/06/2020,219072
21/06/2020,221783
22/06/2020,224347
23/06/2020,226445
24/06/2020,230079
25/06/2020,233685
26/06/2020,238690
27/06/2020,241786
28/06/2020,244783
29/06/2020,246508
30/06/2020,248672
01/07/2020,252485
02/07/2020,255599
03/07/2020,259073
04/07/2020,262457
05/07/2020,265065
06/07/2020,266824
07/07/2020,268912
08/07/2020,272930
09/07/2020,276520
10/07/2020,280190
11/07/2020,283693
12/07/2020,286796
13/07/2020,288759
14/07/2020,290969
15/07/2020,294659
16/07/2020,298266
17/07/2020,301997
18/07/2020,306577
19/07/2020,309730
20/07/2020,311868
21/07/2020,314013
22/07/2020,318195
23/07/2020,322178
24/07/2020,329918
25/07/2020,334070
26/07/2020,337845
27/07/2020,340025
28/07/2020,342800
29/07/2020,346789
30/07/2020,351391
31/07/2020,355582
01/08/2020,359738
02/08/2020,363599
03/08/2020,365688
04/08/2020,367958
05/08/2020,372388
06/08/2020,377090
07/08/2020,382009
08/08/2020,386124
09/08/2020,389693
10/08/2020,391979
11/08/2020,394744
12/08/2020,398941
13/08/2020,403497
14/08/2020,411128
15/08/2020,415130
16/08/2020,418547
17/08/2020,420753
18/08/2020,422967
19/08/2020,427207
20/08/2020,431526
21/08/2020,435468
22/08/2020,439242
23/08/2020,442888
24/08/2020,444932
25/08/2020,447245
26/08/2020,451444
27/08/2020,455380
28/08/2020,459105
29/08/2020,462431
30/08/2020,465999
31/08/2020,467767
01/09/2020,469897
02/09/2020,474051
03/09/2020,477909
04/09/2020,481172
05/09/2020,484677
06/09/2020,487771
07/09/2020,494697
08/09/2020,496229
09/09/2020,498790
10/09/2020,502494
11/09/2020,505897
12/09/2020,509509
13/09/2020,512221
14/09/2020,513860
15/09/2020,515584
16/09/2020,519539
17/09/2020,522420
18/09/2020,525188
19/09/2020,528508
20/09/2020,531149
21/09/2020,532540
22/09/2020,534546
23/09/2020,537931
24/09/2020,541624
25/09/2020,544801
26/09/2020,547872
27/09/2020,550759
28/09/2020,552221
29/09/2020,553817
30/09/2020,557070
01/10/2020,560390
02/10/2020,566376
03/10/2020,569332
04/10/2020,571769
05/10/2020,573439
06/10/2020,575278
07/10/2020,578079
08/10/2020,580972
09/10/2020,587047
10/10/2020,590152
11/10/2020,592222
12/10/2020,593587
